AET|90| 22114.11| 7.48| 920.60| 6084.80
AET|89| 20482.91| 6.18| 1043.10| 5497.19
AET|88| 18612.11| 3.84| 375.70| 4582.20
T|90| 51209.02| 1.88| 2044.00| 14455.00
T|89| 53680.02| 0.21| 139.00| 13550.00
T|88| 56430.71| 1.37| 1556.80| 14633.20
AN|90| 20174.00| 2.65| 1360.00| 12107.00
AN|89| 18281.00| 1.46| 747.00| 11324.00
AN|88| 26922.01| 3.71| 1953.00| 11588.00
ARC|90| 16282.00| 6.68| 1224.00| 5876.00
ARC|89| 14487.00| 3.38| 615.00| 5257.00
ARC|88| 21723.00| 1.55| 202.00| 5504.00
BLS|90| 12269.10| 3.46| 1664.80| 11978.60
BLS|89| 11444.00| 3.38| 1588.70| 11261.80
BLS|88| 10663.80| 3.13| 1417.80| 10198.00
BA|90| 15355.00| 1.38| 480.00| 4987.00
BA|89| 16341.00| 1.90| 665.00| 4826.00
BA|88| 13636.00| 1.67| 566.00| 4364.00
CI|90| 16909.30| 7.25| 728.30| 4973.00
CI|89| 17064.10| 6.34| 817.30| 4625.00
CI|88| 16196.90| 12.46| 732.50| 3754.00
CMB|90| 10744.58| 11.56| 894.79| 3250.28
CMB|89| 9459.85| 6.63| 585.36| 4280.31
CMB|88| 9733.23| 6.39| 564.82| 3795.15
CHV|90| 26015.01| 2.94| 1007.00| 15780.00
CHV|89| 24351.00| 2.09| 715.00| 15493.00
CHV|88| 41742.01| 4.52| 1547.00| 15554.00
C|90| 26276.51| 5.90| 1289.70| 6502.60
C|89| 22586.30| 6.31| 1403.60| 5344.77
C|88| 21255.50| 6.25| 1635.20| 4215.30
CCI|90| 27988.01| 4.26| 1138.00| 7220.00
CCI|89| 23496.00| 3.57| 1058.00| 7695.00
CCI|88| 22504.00| 3.56| 998.00| 6550.00
DH|90| 9259.09| 2.62| 310.00| 2179.50
DH|89| 8793.32| 2.92| 283.62| 1947.35
DH|88| 8009.00| 2.68| 259.35| 1736.50
DEC|90| 9389.44| 8.53| 1137.44| 6293.47
DEC|89| 7590.32| 4.81| 617.42| 5727.79
DEC|88| 6686.29  | 3.71| 446.68| 4554.58
DOW|90| 13377.00| 4.33| 1240.00| 5769.00
DOW|89| 11113.00| 2.58| 732.00| 5168.00
DOW|88| 11537.00| 0.21| 58.00| 4792.00
DD|90| 30468.01| 2.46| 1786.00| 14007.00
DD|89| 27148.01| 2.12| 1538.00| 13137.00
DD|88| 29483.01| 1.54| 1118.00| 12422.00
EK|90| 13305.00| 3.52| 1178.00| 6013.00
EK|89| 11550.00| 1.11| 374.00| 6388.00
EK|88| 10631.00| 0.97| 332.00| 6562.00
XON|90| 76416.00| 3.43| 4840.00| 33626.01
XON|89| 69888.00| 3.71| 5360.00| 32012.01
